state,subRegion,year,occupations,incomeMale,incomeFemale
Alabama,East South Central,2017,"Management, business, science, and arts",64524,42451
Alabama,East South Central,2017,"Natural resources, construction, and maintenance occupations",37278,28176
Alabama,East South Central,2017,"Production, transportation, and material moving occupations",28176,22577
Alabama,East South Central,2017,Sales and office occupations,32380,23331
Alabama,East South Central,2017,Service occupations,22167,15573
Alaska,Pacific,2017,"Management, business, science, and arts",70887,52379
Alaska,Pacific,2017,"Natural resources, construction, and maintenance occupations",55129,32917
Alaska,Pacific,2017,"Production, transportation, and material moving occupations",32917,25906
Alaska,Pacific,2017,Sales and office occupations,35514,30408
Alaska,Pacific,2017,Service occupations,28491,21823
Arizona,Mountain,2017,"Management, business, science, and arts",65854,46329
Arizona,Mountain,2017,"Natural resources, construction, and maintenance occupations",35283,28397
Arizona,Mountain,2017,"Production, transportation, and material moving occupations",28397,21477
Arizona,Mountain,2017,Sales and office occupations,34785,28303
Arizona,Mountain,2017,Service occupations,22058,17974
Arkansas,West South Central,2017,"Management, business, science, and arts",57464,40896
Arkansas,West South Central,2017,"Natural resources, construction, and maintenance occupations",34645,26464
Arkansas,West South Central,2017,"Production, transportation, and material moving occupations",26464,25386
Arkansas,West South Central,2017,Sales and office occupations,35111,25122
Arkansas,West South Central,2017,Service occupations,20969,15895
California,Pacific,2017,"Management, business, science, and arts",81105,57291
California,Pacific,2017,"Natural resources, construction, and maintenance occupations",36342,17974
California,Pacific,2017,"Production, transportation, and material moving occupations",17974,22171
California,Pacific,2017,Sales and office occupations,36314,30472
California,Pacific,2017,Service occupations,25103,18594
Colorado,Mountain,2017,"Management, business, science, and arts",72214,50053
Colorado,Mountain,2017,"Natural resources, construction, and maintenance occupations",40133,25782
Colorado,Mountain,2017,"Production, transportation, and material moving occupations",25782,24691
Colorado,Mountain,2017,Sales and office occupations,39422,30442
Colorado,Mountain,2017,Service occupations,23376,18597
Connecticut,New England,2017,"Management, business, science, and arts",83633,59552
Connecticut,New England,2017,"Natural resources, construction, and maintenance occupations",46050,33534
Connecticut,New England,2017,"Production, transportation, and material moving occupations",33534,27250
Connecticut,New England,2017,Sales and office occupations,41965,31993
Connecticut,New England,2017,Service occupations,30634,20159
Delaware,South Atlantic,2017,"Management, business, science, and arts",70209,56548
Delaware,South Atlantic,2017,"Natural resources, construction, and maintenance occupations",42233,30640
Delaware,South Atlantic,2017,"Production, transportation, and material moving occupations",30640,26141
Delaware,South Atlantic,2017,Sales and office occupations,33809,28840
Delaware,South Atlantic,2017,Service occupations,26579,18846
District of Columbia,South Atlantic,2017,"Management, business, science, and arts",83953,71196
District of Columbia,South Atlantic,2017,"Natural resources, construction, and maintenance occupations",31736,37500
District of Columbia,South Atlantic,2017,"Production, transportation, and material moving occupations",37500,23768
District of Columbia,South Atlantic,2017,Sales and office occupations,40943,41105
District of Columbia,South Atlantic,2017,Service occupations,30610,25132
Florida,South Atlantic,2017,"Management, business, science, and arts",61129,43377
Florida,South Atlantic,2017,"Natural resources, construction, and maintenance occupations",31646,21406
Florida,South Atlantic,2017,"Production, transportation, and material moving occupations",21406,21511
Florida,South Atlantic,2017,Sales and office occupations,31783,26084
Florida,South Atlantic,2017,Service occupations,23401,18444
Georgia,South Atlantic,2017,"Management, business, science, and arts",70019,47844
Georgia,South Atlantic,2017,"Natural resources, construction, and maintenance occupations",34976,22561
Georgia,South Atlantic,2017,"Production, transportation, and material moving occupations",22561,23232
Georgia,South Atlantic,2017,Sales and office occupations,37300,26666
Georgia,South Atlantic,2017,Service occupations,22321,16335
Hawaii,Pacific,2017,"Management, business, science, and arts",65251,50804
Hawaii,Pacific,2017,"Natural resources, construction, and maintenance occupations",50356,27720
Hawaii,Pacific,2017,"Production, transportation, and material moving occupations",27720,28430
Hawaii,Pacific,2017,Sales and office occupations,37709,31597
Hawaii,Pacific,2017,Service occupations,31971,24793
Idaho,Mountain,2017,"Management, business, science, and arts",60437,35691
Idaho,Mountain,2017,"Natural resources, construction, and maintenance occupations",33428,17345
Idaho,Mountain,2017,"Production, transportation, and material moving occupations",17345,17247
Idaho,Mountain,2017,Sales and office occupations,35133,22491
Idaho,Mountain,2017,Service occupations,20891,13402
Illinois,East North Central,2017,"Management, business, science, and arts",74824,51673
Illinois,East North Central,2017,"Natural resources, construction, and maintenance occupations",43652,31327
Illinois,East North Central,2017,"Production, transportation, and material moving occupations",31327,22854
Illinois,East North Central,2017,Sales and office occupations,41290,29085
Illinois,East North Central,2017,Service occupations,24749,17138
Indiana,East North Central,2017,"Management, business, science, and arts",65204,42838
